ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9192;ΚΑΙΣΑΡΙΑΝΗΣ;11.179;12.619;23.798
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9193;ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΟΣ;14.232;16.518;30.750
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9194;ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ;20.658;22.470;43.128
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9195;ΑΛΙΜΟΥ;14.331;16.248;30.579
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9196;ΓΛΥΦΑΔΑΣ;28.442;31.835;60.277
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9197;ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ;17.087;18.714;35.801
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9198;ΚΑΛΛΙΘΕΑΣ;34.683;41.695;76.378
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9199;ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ;16.962;18.911;35.873
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9200;ΝΕΑΣ ΣΜΥΡΝΗΣ;24.874;29.792;54.666
0904;ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9201;ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ;22.649;26.471;49.120
0905;ΠΕΙΡΑΙΩΣ ;9202;ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ;35.160;38.731;73.891
0905;ΠΕΙΡΑΙΩΣ ;9203;ΚΟΡΥΔΑΛΛΟΥ;23.549;26.067;49.616
